Dates ,5/1/2013,5/16/2013,6/1/2013,6/16/2013,7/1/2013,7/16/2013,8/1/2013,8/16/2013,9/1/2013,9/16/2013,10/1/2013,10/16/2013,11/1/2013,11/16/2013,12/1/2013,12/16/2013,1/1/2014,1/16/2014,2/1/2014,2/16/2014,3/1/2014,3/16/2014,4/1/2014,4/16/2014,5/1/2014,5/16/2014,6/1/2014,6/16/2014,7/1/2014,7/16/2014,8/1/2014,8/16/2014,9/1/2014,9/16/2014,10/1/2014,10/16/2014,11/1/2014,11/16/2014,12/1/2014,12/16/2014,1/1/2015,1/16/2015,2/1/2015,2/16/2015,3/1/2015,3/16/2015,4/1/2015,4/16/2015,5/1/2015,5/16/2015,6/1/2015,6/16/2015,7/1/2015,7/16/2015,8/1/2015,8/16/2015,9/1/2015,9/16/2015,10/1/2015,10/16/2015,11/1/2015,11/16/2015,12/1/2015,12/16/2015,1/1/2016,1/16/2016,2/1/2016,2/16/2016,3/1/2016,3/16/2016,4/1/2016,4/16/2016,5/1/2016,5/16/2016,6/1/2016,6/16/2016,7/1/2016,7/16/2016,8/1/2016,8/16/2016,9/1/2016,9/16/2016,10/1/2016,10/16/2016,11/1/2016,11/16/2016,12/1/2016,12/16/2016,1/1/2017,1/16/2017,2/1/2017,2/16/2017,3/1/2017,3/16/2017,4/1/2017,4/16/2017,5/1/2017,5/16/2017,6/1/2017,6/16/2017,7/1/2017,7/16/2017,8/1/2017,8/16/2017,9/1/2017,9/16/2017,10/1/2017,10/16/2017,11/1/2017,11/16/2017,12/1/2017,12/16/2017,1/1/2018,1/16/2018,2/1/2018,2/16/2018,3/1/2018,3/16/2018,4/1/2018,4/16/2018,5/1/2018,5/16/2018,6/1/2018,6/16/2018,7/1/2018,7/16/2018,8/1/2018,8/16/2018,9/1/2018,9/16/2018,10/1/2018,10/16/2018,11/1/2018,11/16/2018,12/1/2018,12/16/2018,1/1/2019,1/16/2019,2/1/2019,2/16/2019,3/1/2019,3/16/2019,4/1/2019,4/16/2019,5/1/2019,5/16/2019,6/1/2019,6/16/2019,7/1/2019,7/16/2019,8/1/2019,8/16/2019,9/1/2019,9/16/2019,10/1/2019,10/16/2019,11/1/2019,11/16/2019,12/1/2019,12/16/2019,1/1/2020,1/16/2020,2/1/2020,2/16/2020,3/1/2020,3/16/2020,4/1/2020,4/16/2020,5/1/2020,5/16/2020,6/1/2020,6/16/2020,7/1/2020,7/16/2020,8/1/2020,8/16/2020,9/1/2020,9/16/2020,10/1/2020,10/16/2020,11/1/2020,11/16/2020,12/1/2020,12/16/2020,1/1/2021,1/16/2021,2/1/2021,2/16/2021,3/1/2021,3/16/2021,4/1/2021,4/16/2021,5/1/2021,5/16/2021,6/1/2021,6/16/2021,7/1/2021,7/16/2021,8/1/2021,8/16/2021,9/1/2021,9/16/2021,10/1/2021,10/16/2021,11/1/2021,11/16/2021,12/1/2021,12/16/2021,1/1/2022,1/16/2022,2/1/2022,2/16/2022,3/1/2022,3/16/2022,4/1/2022,4/16/2022,5/1/2022,5/16/2022,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023
bitcoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23448600,18719700,14722200,24104900,22903800,4834240,35685800,56480100,11953625.13,5292980.731,53565199.68,25803391.33,38496541.69,13679053.32,22927176.8,27941383.43,19343751.81,16956832.82,26019381.16,48941848.67,38569972.59,95731301.28,64120830.5,71798679.48,46999364.09,176217465.5,100844154.3,128976205,58106060.44,60818266.22,78230800.05,88471192.54,74708330.71,26856157.04,43602264.82,96364192.87,68104997.64,97423601.54,53533745.83,55868003.65,61479340.24,51089489.85,72356986.65,332398256.2,582434357.4,239442892.6,523072117.5,896686369.8,1338781511,1710583688,1028395381,1111797900,2515777834,1895643174,447338223,743886906.6,394606185.8,649625052.5,864207752.9,2295279423,1520646626,583921220,1099193369,665471810.7,356532608.3,546585886.1,1673872374,1454057375,5882440879,9936150861,5522487160,1764681181,3470830330,831361487.5,92784081.55,66797083.39,105587214.8,137592935.4,87750426.9,36294382.38,217759983.7,218205145.7,438586633.5,404682134.6,207555417.5,480771847.6,745400937.1,1755705435,909131411.6,1399781741,682387248.1,1060235880,2095690343,3413089663,5021611420,5116192713,2345478674,9677283153,3225562145,4332356646,3182259829,4571407140,2565052340,2350690711,2508704421,2586241490,1714862985,1740752642,2086842502,2857367440,4675498855,6619548180,5959884321,4295951324,1908960743,6217858944,2042670545,4981978553,4007783473,2103029920,2991427568,2953789408,4330022381,4506367417,7627783001,8157372615,9729996888,13837248985,16794865767,30893707828,30329343189,21892878337,34920211165,37553147017,22957330876,31003755662,15364904439,13781855194,21681424235,17879549109,30452200168,27102692385,19070509165,18896096612,21187883711,48160401007,50102814006,51460340289,33291626663,32985693210,32287674952,29692916171,65838312160,44866846516,27396663221,29160908897,19741435780,16565948995,22329797905,21285690553,21077276618,23802088944,18558607663,20511481707,22691200479,19184714603,36160827241,24173322660,43503516563,63450740093,42488649643,61061855794,59679588927,70594488700,57495844478,60495376851,53879045974,62896879696,37950798680,36706248352,31024153847,21557729227,28437941447,32863850458,34868965959,30037816650,30859918335,53653355008,32494948461,32107212452,35723038604,33782603071,25895349605,14651008625,17731563487,19801081789,30634280855,20768829818,27736469646,22053774554,20955789685,22948123704,29770567353,52027211447,22816515395,46542248374,31786729326,33404812508,27825786160,33715957207,37848666331,13103099352,37290619695,28676275679,30676053555,22754686788,12013247678,23072133988,32683643418,44336284482,25534054046,63107437929,19112345640,11028264273,14707008605,14570026782,10001106222,15184095954,21422361051,6233916919,6641808341,11523395158,20360682650,9768889420,6295435108,6604845643,16419150929,28479730068
litecoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8159590,6589470,4416580,5110250,4091080,5321400,7346120,17352400,48598282.03,14992111.46,7181921.413,2617072.633,6140423.581,4895118.978,1652313.837,1600204.759,2011839.702,2020258.783,1070733.458,1449981.639,1164798.181,1004603.532,559540.8576,2887270.971,1382349.326,13370875.98,10699652.26,3004596.998,3974037.066,3556330.668,1842170.658,4050045.341,2137523.935,1296196.681,6153569.245,60988450.82,58193150.24,135092295.2,124893706.2,46201603.78,35839530.29,21456905.45,44526334.47,52354531.97,154388319.3,28295861.37,170569261.2,271681896.6,166080827,278616687.6,106505065.6,86992915,127735173,74625323.69,90332993.53,123432225.4,324381258.5,502954477.7,543546730.1,811241421.8,560991219,157934594.5,193138566.7,195007700.8,228504141.8,80532464.04,127097390,142893857.4,327014678,536039173.5,177268764.2,112974331,427541120.7,12169286.59,3759636.795,2209246.864,2858459.825,7565303.765,37897846.82,17903052.72,102376366.2,203766718.4,251162485.3,269273692.6,80312696.16,194934382.6,114291304.1,87220765.18,1004841970,447653727.6,80305648.33,163880018.3,65809140.22,341671323.6,408707984.1,997015712,365432350.4,1234195162,307281486.3,1732096624,657073900.1,554579271.3,253392043,235961898.2,277034735.6,330038472.5,224865252.2,237811475.5,280821808.9,255679609.1,363592538,415681790,326662792.5,455006563.2,516221192.2,791981791,492670260.4,767632286.4,487216769.2,341279502.5,388852429,514183004.7,573161631.5,1076680991,1107298916,2003002787,1754537891,2934689178,3241520316,5720376308,4955174985,4847718037,6518524940,3991747204,3473296190,4212152729,2700765104,2299685253,2298533710,2190723972,3983788507,2624849877,1830961888,2105842301,2220352351,4827236011,5388082238,4954019472,3315466965,2712125771,3066212298,2748060851,4667497418,3336624308,2394255572,2007433973,1134831295,961655950.4,2111828633,2928499308,2366434813,1833570761,1826216266,2055361925,1970744542,2094279030,4935429713,3123112334,4978855668,6575617068,3884066571,9494462584,6789174655,6913825438,4220727720,8996357764,6181372717,8086341175,4865805842,3395011250,2678677095,1508867864,1405878074,2534932086,2189172522,2990353969,2404772316,3109064131,1887265681,2470208124,1919830616,1153019237,927144179.7,858852118.8,580923790.8,680554080,786158082.3,586359737.6,1242471537,664670069.2,495256548.9,643863699.7,457451806.8,990893654.8,502711429.8,402936617.9,467950289.3,446690610.2,320097858.5,476187207.4,299157760.2,177445520.8,381398582.8,426677960.5,750148809.2,465150294.1,392606818.7,574298821.5,901755417.9,818639921.8,426852107.5,891315313.2,454574377.3,411960403.2,337656729.4,843612280.3,565956357.1,410245725.2,3311758401,628812856.6,815760612.2,570126359,514663716.7,398146736.4,224929147,184054296.2,503629110.8,538433375
ripple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55836,57725,110279,81918,164650,50259,172709,1024970,2479.431987,9288.49028,9481.95386,4289.108931,245846,216814,406580,90692,267053,585082,63133,120959,187547,75540,3370570,6289370,433245,1690220,883401,403599,1541400,858078,725414,258195.4592,632072.1373,67763.93815,674742.6732,1506339.806,465278.4672,753474.662,193329.7295,285941.6199,396332.3457,317219,568455,344095,485171,221757,310073,1253530,202906,329552,842502,998678,760809,217798,822108,69562,237705,393185,1020200,3064050,995115,653354,954685,1238530,686362,12409700,5913380,615802,1880240,2917130,1175980,2572180,418493,710993,1839380,1338310,1621640,2893180,30656500,5969870,60236000,439467000,587690000,88797200,53742700,250358000,119502000,108090000,301857000,84819600,40788800,962326000,67053700,1003870000,184477000,1346740000,1697900000,5720560000,1262330000,1210330000,327035000,901276000,293509000,594497971.2,547950108.4,401164090.2,272020881.2,232030093.9,329081328.9,167484142.7,233995826.9,340842440,227827316.7,250387720.5,1308391504,1229625623,302071251.8,1304087630,640077941.5,331022737.6,579044791.8,408479335.6,791829713.6,411145286,830241999.5,633393467.4,1002498525,1094979035,1352991941,5301693095,2503864363,1691204117,2042972342,2937047969,1228517591,1895907030,1016109451,1221139576,2170139828,1930256541,2082418410,1920714192,1116903291,1116573944,1125486227,2536228718,2017282253,3430602808,2044539704,2079737198,1985080188,1937688980,3081128999,1861283855,1594357119,1454758196,1042249689,1087859006,1847648958,2605016822,1713133364,1656784495,1349173492,1255528006,1338496256,2253509326,11254530543,5591960739,4364513013,3539150045,18464504612,7365881443,4487418198,3253641646,4729377042,14139350014,12717580116,12551722233,6691379572,2862140885,3241276897,1583678938,3136242263,10902516170,5799191346,3333096500,3810704691,6336537376,6015356675,3251109169,3219272264,3907096832,2252303692,1749569966,2593396517,3043829789,4355925146,3438081456,2910917621,4005911939,2317425481,2107871027,1735357530,2286498342,1326945295,25137309697,11383629247,1162193827,796912925.4,1337552250,2972868272,798628206.3,1602014607,2081487498,1083227863,819703826.1,404611674.3,938035524.1,1197426393,1320600526,1097670874,1224433592,2114260332,809065912.7,538719110.4,825806498.1,1728394883,1290064407,1016983989,2658605338,1406177637,1200448874,1026735506,775561029,565774967.9,320727338,2414939166,1278936903
dogecoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307264,1233290,942077,2040190,1287020,842284,845770,6425170,250601.955,281078.494,796888.7791,230593.1263,281008.0753,187919.6327,85695.67042,101155.1493,68161.31342,510189.9026,906327.8969,304619.1022,127644.855,199220.9531,180950.8031,567498.3171,283845.5006,533320.2641,173339.7319,65290.25854,80891.23447,65645.01206,75085.4526,49525.42352,94331.04369,84499.99387,345660.9444,744821.1005,41437.67597,82033.43335,155512.6007,28227.22039,51422.78781,55833.74987,28004.8051,40835.88731,29637.15622,43680.81359,45149.73141,97691.02462,27162.65562,77007.39304,193545.9009,97502.79891,91227.85601,97772.21785,131316.3202,31815.82785,45176.12164,98364.55521,38088.31931,374066.202,256673.943,60788.16789,99648.68456,673421.5858,102051.3929,720214.4835,120686.1131,50761.99861,139887.9474,105520.1424,107784.97,66363.65121,87182.38606,74831.54371,70340.62819,122503.8649,107316.9458,513725.8507,968031.4715,885833.9801,3357178.194,4591431.159,11937416.07,8143356.63,3598638.152,2368531.703,3563174.79,3118713.105,14107749.21,9272718.642,3685531.347,5295651.767,2536410.946,3074216.146,4669696.961,120266309.5,38572892.39,54068722.71,11616296.46,32892225.15,8374216.561,7298352.603,2868912.704,9885477.775,34088347.24,20059999.95,7125656.478,10653210.65,3816597.266,2459655.553,11573117.76,4062750.052,124412841.3,25495497.69,27913420.36,105442541.4,32876351.02,52740951.02,28026581.55,21634852.56,24600829.07,24168965.92,23921872.26,21075776.4,39041631.05,20912260.82,25685593.28,64306914.8,58359615.28,91712936.34,134090188.7,91845481.28,79934988.08,64199750.87,48482775.54,64238566.84,47715637.17,53271098.83,82176094.17,68705261.57,75885834.37,72903937.28,76056224.77,50404461.29,53013466.44,107025135.7,58805204.82,118598157.5,122706371.5,92079970.28,125018849.7,131684089.3,235092727.6,198862295.4,121116975.4,148884119.8,124372837.1,109574218.6,87495378.94,139339381.5,184353787.5,130436953.5,113949670.6,83563068.91,59252178.2,43634951.13,99796545,66017115.98,127614763.7,443710335.7,7755101292,4042454025,1576893241,1743281980,1042337641,17675455194,5791678086,10494108535,2987098923,1827179805,2571421534,1161312534,2028990907,6519860020,1560409724,898438545.7,772968140.1,1697000571,4382941811,1025389485,1703432997,2223447704,903471965,1719975696,624140939,588779802.4,647565472.4,404855073.3,1171644436,1192127472,852597770,523850917.2,617942084.8,1008539820,493086895.3,329590552,443178697.9,881087003.3,273656559.9,309004227.8,328232924.8,177653659.3,6219458573,811355066.5,1874725656,531350811.1,379761023.5,681082186.7,2150296358,1141568616,439789857.2,661636752.6,472513620.6,732038330.7,314501201.4,301109264.9,244428535.1,286233333.6,485437466.6,1146833188,424603425.8,485736337.3,438006033.8,176356727.5,177476790.8,137557876.4,654989402.5,641871028.5
monero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140732.8715,376118.645,97727.93603,358842.76,146416.3349,81561.85891,265185.9827,146587.1275,64083.22967,58645.30411,32297.17348,26000.27896,73892.48747,39009.95785,25897.14178,14572.457,17831.80694,8798.875259,23600.00502,115175.5708,120823.2697,43594.1274,13472.75745,48605.02075,21919.88774,45102.15543,18228.377,13229.6819,38952.23285,61764.55375,13485.39003,43071.87157,27144.71427,37519.52864,25992.37779,16895.76334,19351.64595,26580.84918,89745.79278,38706.36831,37356.14216,863923.6854,168483.8731,154193.2592,334445.8343,112190.7955,61432.63889,100858.5022,101423.7804,342918.3062,147138.4212,67558.35,162961.1583,749706.804,11805783.05,6810575.629,7929762.667,2502457.745,3635245.096,9027732.24,5653296.219,924713.2319,3153325.342,2966899.691,2642330.951,2824858.671,5160437.006,24695253.79,5792597.183,3812422.56,13287337.23,9047446.58,11689684.61,7639625.752,7512583.676,6324125.444,16430725.1,11586592.12,71317158.26,28940293.86,24724850.77,30444775.08,34980704.29,67883055.24,52350184.8,150756720.5,92648925.64,220429681.8,57529021.38,80991118.69,42295477.62,80353703.07,22046843.51,47939108.89,99733096.46,53513864.63,34696632.18,36077970.12,33368878.36,22685671.9,31560292.92,22940264.25,61024244.02,38742536.45,30353471.77,292537683.6,263071866.3,264683974.2,465216213.4,727197466.8,732574172.3,38539837.5,148066492.6,88966792.35,172255131.2,47452391.76,283431651.4,103828921.7,272646212.6,75657154.21,378675732.3,412588964.3,140245568.5,559965139.6,149266820.5,199750068.1,318356331.1,67173748.83,105970220.8,100886476.4,197574491.7,165645706.1,73341846.55,128345167.4,95555114.15,186240700,144610705.8,168797616.5,117300840.2,134857172.5,154242662.1,148453550.2,170133373.2,102410796.6,115209871.3,77222536.54,64314688.85,104584213.9,96796333.1,86044300.73,153608483.2,248367591.7,336700361.1,280641460.4,342091356.4,180626675.7,263227394.1,415613262.4,368285519.9,581010041.8,417097444.4,969594316.2,933569598.7,768831658.5,844752689.4,726120527,609678421,667311014.6,253420632.8,240130852.8,195716056.5,167158779.1,223609647.9,214728738,223133790.8,239682110.1,237997717,269306881.2,192039995.2,193460787.8,234156918.9,129236626.2,169283156,117673481.5,112435687.5,125511652.6,119939036.3,212872268,169298827.2,165982769.1,212313186.5,164778739.1,230624264.7,170782927.6,73606907.27,101235826.8,129249542.7,101699126.5,80867656.99,94324908.33,66659689.39,51267495.06,94494092.6,113581218,91765608.03,84123563.91,57346855.2,124525066.3,105856642.1,119167564.4,84517148.79,112916114.7,92466117.65,91578122.49,70207718.56,54008074.22,86957099.2,79638209.44,100103813.9,61234106.58,67125124.19,65401408.05,91684464.4,61812988.23,45308684.79,35853921.72,86264358.29,109147428
stellar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115892,27846,85537,66183.7704,30251.89742,3265.856979,734.7394925,2921.265856,27606.62387,8877.13699,34509.43408,36549.3348,11116.8808,7278.657342,20557.69295,9316.760704,7435.092568,4378.926527,5796.669572,19701.13982,18225.06699,2743.917745,14438.42016,5658.298253,7812.658051,4713.042905,7448.307721,12360.89358,1246.735924,7724.406941,322.8500672,345.8871399,4828.031578,4073.361594,2932.157266,5574.516845,59431.02579,4327.099327,14695.93903,6510.702616,6077.174485,3843.274735,3838.395198,7346.291287,13638.28566,35672.23856,9365.03681,26008.22441,25856.01758,11842.13174,151111.0929,101449.3288,45499.06282,39356,43467,63674,1243550,39199,49667,60158,118966,256218,508408,1727530,2424160,5912840,88469300,46313500,7704300,9360970,23627700,7543730,8430520,8700210,3630790,1529390,290781000,14225200,20722900,100798000,235869000,675537000,226537125.3,116353563.7,54352646.08,26734238.82,58615317.41,82436260.85,127238692.3,73525215.79,32749632.71,68629921.18,31762214.51,39533983.07,44614505.37,82044501.87,95371695.65,51191827.01,88308379.29,74960252.03,110680240.1,34664042.27,118498935.3,103935684,83650372.88,77213863.75,84352857.87,126871648.7,182414812.5,105471725.2,127578084.4,252915760.4,231519240.1,188002670.7,535095842.5,360101663.3,308023096.7,443923535.9,359262387.1,168334303.1,159540958,110403119.4,101170731.9,230727496.6,244762221.1,290046621,163332027,180002628.2,143513433.6,117290831.3,298567302,278978236.8,439770264.1,238936469.2,284640955,284015671.3,420088284.1,731506426.9,471038741.1,542515555.9,439129810.9,206613803.9,350121910.7,146570975.5,234343360.3,190688756.7,147088936,108241221.2,100302359.3,227946922.1,115896027.4,1025249726,462571053.5,487386340.9,1564358880,2145624846,2984599288,1743037489,915685375.9,916052540.9,1710974186,1505454105,3715824137,1046830703,844886750.3,450077470,362772566.1,553469645.9,1192628584,725976245.9,495005752.4,372666600.1,859944687.4,1038978042,573994923.5,648967329.1,482195979.2,297358661.1,418226826.3,209411451.1,252347713.1,298013360.7,221924288.7,451988004.4,430515027.7,204694821.2,188870740,335430663.6,239197235.1,178589242,128731641,148284995.2,118070368.8,76258212.64,101087284.6,173869617.8,67395034.38,82992879,81319444.36,59901917.99,64498832.64,31341515.3,71547835.19,58660715.76,82667391.1,57075783.56,96582768.72,231279721.6,49605256.98,32981317.27,40936616.67,69187618.96,56933161.35,204805233.6,150056554.2,115378737.1,95546835.94,85415462.52,57955324.67,51054325.27,47030110.89,171703645.5,96128001.39
tether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49631,0,40941,617,139,6808,226186,101760,2859,59655,2368,8940,100573,142978,98610,24088,28790,303493,94882,4876,73936,0,59168,118129,72590,49965,62183,46714,567670,1025870,3545150,995953,284886,1898950,2198160,814406,745524,363941,278375,2243490,1524020,916061,209513,1914630,1229420,3422760,1568140,11909100,33318300,15146700,7306380,44670600,52967200,100492000,110022000,82282000,177777000,169383000,120674000,198779000,234360000,103305000,204073000,243987000,641835000,750154000,1588870000,1681610000,5541320000,2662360000,3297560000,2396490000,2284550000,1765870000,843295.0774,1729590.051,1586606.627,814795.85,2763878.269,1521506.801,1696894.766,1615377.074,109675394.9,99498842.63,112082132.9,139339764.1,246203418,63741585.12,114761798.7,67160998.07,81486365.6,107660509.9,206378942.3,4354176577,6183126580,9743115331,12652142426,15416444877,18918457515,22841399111,43301978193,33141027238,28939981289,42633499132,49555137658,36578677807,46008115420,29438620418,17756715649,25847527150,21493954352,35532580746,29250394794,19383832516,19531688422,23700467689,57728408600,63083137864,70029696426,39523155375,41647999561,37371758622,38885674227,84999917731,49089484778,32627799632,35039555237,17274516831,16408360294,27673049712,34427440251,35149377247,38756861577,28716486086,30259351504,28108751849,26040137068,56688978353,34912750509,50122642446,96992240844,77589141305,1.157E+11,1.14593E+11,1.15152E+11,1.07713E+11,1.4441E+11,1.10626E+11,1.82414E+11,1.06333E+11,65068923450,66616719527,42942514427,49381844742,63903879901,69335489587,60094137366,59373450629,82702631102,81300388759,58835988895,77903647941,71759566149,49196717111,36607366340,37880065303,42565819143,58228899349,41933112358,71216398928,39858532328,46803422697,48374792029,49972016539,85953586536,55599294672,48311326146,50160771896,57625412322,36863645338,50060584473,44169815650,19333334086,56271256469,38525546062,40073068049,27062224028,13764722594,33492739684,41165769631,56998699691,32718069236,80989287076,29874023430,21813314655,18862210774,20209244399,20382863081,19100399151,40611671689,14687396234,13098215454,18746693270,26736239976,15891527297,11726685405,11265586640,28103385791,46901350494
ethereum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3032657.656,610368.2431,629370.0849,588839.7815,247071.2472,603996.199,616346.9299,643109.8579,207316.9873,202032.1334,2377737.143,3991411.341,15444552.59,20945587.17,23016882.43,11085851.67,9164981.892,16329848.83,27963225.28,20161807.32,33609803.06,16090108.05,10138776.97,17147499.53,5249879.805,19546439.79,14494427.65,4727545.881,2051473.398,17471506.38,7762025.467,4918051.799,2694314.913,7811699.126,5886593.491,9511590.154,10436344.69,26801192.63,278693085.3,57319943.04,18940687.57,290126273,96955301.32,438784642.5,404203523.1,364629592,594995539.9,794803694.2,640592817,505643412.8,586258300.9,208656622.1,536987705.6,343876003.9,540577805.5,731926955.7,1323743951,1101627636,5197858118,2148302757,1674187630,1088578649,1314501765,970454263.2,1113471502,1271088004,1318045202,1016848280,1129671620,1242421814,1144805113,1576813469,2818580242,2200676476,2852106466,1696510082,3003242430,1270047763,2461869578,1719140726,1109693017,1822123555,2179445233,1980504564,2374950566,4363574713,4756481151,5681255418,6208683988,7295538037,13672541333,13065602416,8326314916,14452227264,12728221880,7854507843,9569868633,6422265680,6872781111,8531793897,7255387196,10677408738,9104427565,5436245311,6837194966,7103187151,17862385532,18506953477,31021139511,13967572975,10971643912,7869741297,8578826590,23630952297,13130818660,10887047332,9539612843,5282884956,4622070139,11638423647,10265309386,14228693736,12209389923,8037484325,10155629419,9009356074,8946780761,18811269167,10160486193,18166112098,39499008134,24723054988,37652347195,35420463945,32950345873,28955571444,37106765660,35477884579,58150860876,44445830388,26803957680,29046221906,17978198760,21579519281,24412292891,32201644523,18985547836,19400423829,23144188055,18516249996,17939105213,31531135169,26881290261,14298378834,8659658467,13818587054,14189484930,19832961026,12439580088,16222256121,12543243551,12618462103,14395455889,17409076011,39679810345,15402670572,16817194904,12894604186,18310871317,18596055351,24787864367,11849125784,5743906845,14900137160,8940477028,9889408118,6014960880,2891351007,7074931051,7544090212,11079231384,6883711562,17257648020,10329452627,9272832786,7328083479,7655256291,5930556982,8283225650,11695335270,4430406661,6106091989,4416612452,11279510279,6794504242,5460542607,4201310279,10712345069,22504704552
ethereum-classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45218600,4071690,13498100,1873970,2441570,2885360,1332460,947772,412783,1488380,3568340,371734,735766,1068710,4512900,14638900,6441610,3453150,116294000,22454500,129464000,90015600,64691500,244030000,84837600,77171900,807106000,147138000,43828000,28622000,29745900,182083000,845298000,1104890000,286690405.9,774274694.6,263456276.7,550823550.4,451119608.6,382270882,121226424.8,129299752.2,351683898.2,237936071.2,116892534.2,183532173.4,251480594.8,284241238.4,276239968.5,440233055.4,290087900.3,427321423.3,272305524.4,396541851.6,379552433.2,523381396.1,244740534.3,158434590.6,266391223.3,136767203.3,149258028.8,282412899.8,183518075.3,204395832.4,139382126.8,433563131,644514525.1,823361977.7,964183795.6,742015112.6,1013533272,786497761.7,567033929.6,712416482.6,873933953.1,623088359.9,623394937.4,561956903.7,785777920.3,673910141.3,468756963.4,454904767.1,872337510.5,3064612811,3140320698,2779124832,1384127162,1399128591,1452915882,1543448640,2569122909,1437811950,1394223255,726265282.4,664317212.2,551130105.6,875598050.3,751455438.9,644962997.4,498034722.5,501066135.4,438995947.7,397572565.4,397120382.8,868109692.2,582251602.9,1261512052,1299519929,778809315.5,2735414422,1392996304,1613906984,1760628996,4572975317,2429256389,11883057210,4853787298,3224178009,7255974209,2584732038,2669812527,6696318583,4241400916,4438562211,4425839773,3553054483,2427997891,1346616830,1264467879,497184665.3,313217850.9,325599492.9,223684831.7,408536454.5,352511083.6,215394741.7,1727067521,332077802.4,374627322.4,221624216.7,448096264.5,398553059.3,155061909.6,157667739.3,2014099619,996688852.8,548689355.4,2543372376,338911738.3,188420838.4,327339643.9,163336162,185118715.2,96214309.69,70228585.56,266729872.8,148865457.9,213271723.4,112952595.3,221563063.3,135545821.7,117416289.5,73472907.21,84477345.15,53206430.38,86157979.37,750861268.6,104291210.2,93792442.16,94442380.26,91174776.69,55743868.11,122862650,42391326.43,334776636.1,163183388.4
bitcoin-cash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127151045.1,346868575.2,284523662.1,145529310,102075620.7,965226488.3,1757603157,818580765.3,821335100.8,621745122,1555836272,648555115.8,402429073.5,305137336.5,336313644.5,256865189.6,235366421.4,523580534.1,727055945,547111790.9,301901075.2,515593749.8,363911717,653342404,1174517762,1211151878,1545293199,632400948.4,984065491.9,438990654.7,782486313.3,97905021.79,57832392.82,268129241.3,151852278.9,183140501.9,152682303.1,276987545.2,444879475,366317930.4,2281526981,1736999192,3394327142,2457797370,1866981378,2525929177,2965084922,1617292905,3137604667,1561868028,1437430130,1822770362,1546967924,3354591412,2833290742,1755869766,1781345062,1661251711,7233608705,4838063130,6151240119,3894716586,3178184837,3029185293,2882169670,5183766149,3296852402,2859376481,2515707647,1643317017,1559001969,1828009950,2999454104,2287614607,2920181185,1951827124,2752428836,2051939412,1795498709,3734544638,3231783598,4006621481,6616294792,3530770717,11630282037,5641065346,5434257841,4887152846,8162518126,7755534805,7346276130,3579242937,4359671175,3906660698,3317532730,2586923922,4782546219,4893241738,7111412211,6960019928,8702918130,8301133400,7193677153,2734917920,2128516486,1895832438,1488239184,1214569578,1321636406,1449767283,1243342390,1853836478,1229900647,319642144.5,1104564614,990823177.2,508625403.7,578098842.1,576940411.8,796544298,270052858.9,490666335.9,450234578.9,611620976.4,449529153.2,738275391.7,435974734.8,454372943.2,410039220,330916268.8,227358498.4,197839885.6,210475318.3,449269591.2,296307382.5,90488082.67,75227897.2,55969317.42,110262880.5,59166416.71,61876721.61,3270993753,326310907.7,270640807.3,318822435.5,299349114.4,286372512.8,156215241.1,78229277.29,189087479.5,117596943.1
