Dates;bitcoin;litecoin;ripple;dogecoin;monero;stellar;tether;ethereum;ethereum-classic;bitcoin-cash;binancecoin;cardano;tron;chainlink;maker;usd-coin;matic-network;solana;polkadot;avalanche-2;staked-ether
2013-05-01;117.0;3.64914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-02;103.43;3.38879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-03;91.01;2.78957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-04;111.25;3.51708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-05;116.79;3.63013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-06;118.33;3.50733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-07;106.4;3.21463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-08;112.64;3.4615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-09;113.0;3.4239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-10;118.78;3.50018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-11;113.01;3.38675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-12;114.713;3.24093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-13;117.18;3.20229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-14;114.5;3.0673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-15;114.156;2.93058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-16;115.5;2.86922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-17;123.1;3.15827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-18;123.88;3.32471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-19;120.501;3.27158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-20;122.58;3.18818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-21;122.9;3.08331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-22;123.0;3.0921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-23;125.748;3.1525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-24;131.7;3.14642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-25;130.77;3.1162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-26;134.6;3.2562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-27;128.985;3.11957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-28;129.179;3.09213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-29;132.13;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-30;127.401;3.07544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-05-31;127.98;2.94667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-01;129.09;2.94623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-02;121.3;2.8435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-03;121.16;2.6895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-04;-1;2.7273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-05;121.309;2.98423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-06;121.714;2.83148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-07;119.0;2.7589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-08;110.09;2.5823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-09;108.401;2.53026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-10;99.7497;2.31937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-11;105.99;2.48252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-12;108.9;2.39022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-13;108.4;2.3539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-14;102.769;2.24431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-15;98.399;2.12094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-16;99.99;2.0696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-17;100.42;2.113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-18;102.0;2.28174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-19;106.55;2.26624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-20;107.9;2.28867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-21;110.91;2.30062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-22;109.015;2.81578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-23;107.25;3.07596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-24;108.0;3.06858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-25;102.443;2.87482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-26;103.691;2.82429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-27;103.39;2.87716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-28;99.66;2.96028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-29;93.3311;2.83478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-06-30;95.3886;2.796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-01;97.504;3.05876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-02;89.489;2.97799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-03;90.797;2.835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-04;78.8;2.58748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-05;78.48;2.67032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
